model,intent,precision,recall,f1,support
most_frequent_trivial,delivery_tracking_or_delay,0.235,1.0,0.3805668016194332,47
most_frequent_trivial,delivered_but_missing,0.0,0.0,0.0,11
most_frequent_trivial,return_request,0.0,0.0,0.0,3
most_frequent_trivial,refund_or_payment_issue,0.0,0.0,0.0,14
most_frequent_trivial,order_cancellation,0.0,0.0,0.0,6
most_frequent_trivial,damaged_or_defective_item,0.0,0.0,0.0,5
most_frequent_trivial,wrong_or_incomplete_item,0.0,0.0,0.0,8
most_frequent_trivial,account_access_or_security,0.0,0.0,0.0,16
most_frequent_trivial,prime_membership,0.0,0.0,0.0,5
most_frequent_trivial,prime_video_issue,0.0,0.0,0.0,2
most_frequent_trivial,seller_or_marketplace_issue,0.0,0.0,0.0,1
most_frequent_trivial,general_or_context_missing,0.0,0.0,0.0,82
tfidf_logistic_regression,delivery_tracking_or_delay,0.421875,0.574468085106383,0.4864864864864865,47
tfidf_logistic_regression,delivered_but_missing,0.36363636363636365,0.36363636363636365,0.36363636363636365,11
tfidf_logistic_regression,return_request,0.3,1.0,0.46153846153846156,3
tfidf_logistic_regression,refund_or_payment_issue,0.4117647058823529,0.5,0.45161290322580644,14
tfidf_logistic_regression,order_cancellation,0.35714285714285715,0.8333333333333334,0.5,6
tfidf_logistic_regression,damaged_or_defective_item,0.06451612903225806,0.4,0.1111111111111111,5
tfidf_logistic_regression,wrong_or_incomplete_item,0.3,0.375,0.3333333333333333,8
tfidf_logistic_regression,account_access_or_security,0.625,0.625,0.625,16
tfidf_logistic_regression,prime_membership,0.2857142857142857,0.8,0.42105263157894735,5
tfidf_logistic_regression,prime_video_issue,0.2857142857142857,1.0,0.4444444444444444,2
tfidf_logistic_regression,seller_or_marketplace_issue,0.0,0.0,0.0,1
tfidf_logistic_regression,general_or_context_missing,1.0,0.024390243902439025,0.047619047619047616,82
distilroberta,delivery_tracking_or_delay,0.45098039215686275,0.48936170212765956,0.46938775510204084,47
distilroberta,delivered_but_missing,0.3333333333333333,0.5454545454545454,0.41379310344827586,11
distilroberta,return_request,0.2,0.6666666666666666,0.3076923076923077,3
distilroberta,refund_or_payment_issue,0.5454545454545454,0.42857142857142855,0.48,14
distilroberta,order_cancellation,0.45454545454545453,0.8333333333333334,0.5882352941176471,6
distilroberta,damaged_or_defective_item,0.23529411764705882,0.8,0.36363636363636365,5
distilroberta,wrong_or_incomplete_item,0.10526315789473684,0.25,0.14814814814814814,8
distilroberta,account_access_or_security,0.631578947368421,0.75,0.6857142857142857,16
distilroberta,prime_membership,0.15,0.6,0.24,5
distilroberta,prime_video_issue,0.3333333333333333,1.0,0.5,2
distilroberta,seller_or_marketplace_issue,0.5,1.0,0.6666666666666666,1
distilroberta,general_or_context_missing,1.0,0.1951219512195122,0.32653061224489793,82
